YEAR,CATEGORY,NAME,WINORLOSE
1927,ACTOR IN A LEADING ROLE,Richard Barthelmess,FALSE
1927,ACTOR IN A LEADING ROLE,Emil Jannings,TRUE
1927,ACTRESS IN A LEADING ROLE,Louise Dresser,FALSE
1927,ACTRESS IN A LEADING ROLE,Janet Gaynor,TRUE
1927,ACTRESS IN A LEADING ROLE,Gloria Swanson,FALSE
1928,ACTOR IN A LEADING ROLE,George Bancroft,FALSE
1928,ACTOR IN A LEADING ROLE,Warner Baxter,TRUE
1928,ACTOR IN A LEADING ROLE,Chester Morris,FALSE
1928,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1928,ACTOR IN A LEADING ROLE,Lewis Stone,FALSE
1928,ACTRESS IN A LEADING ROLE,Ruth Chatterton,FALSE
1928,ACTRESS IN A LEADING ROLE,Betty Compson,FALSE
1928,ACTRESS IN A LEADING ROLE,Jeanne Eagels,FALSE
1928,ACTRESS IN A LEADING ROLE,Corinne Griffith,FALSE
1928,ACTRESS IN A LEADING ROLE,Bessie Love,FALSE
1928,ACTRESS IN A LEADING ROLE,Mary Pickford,TRUE
1929,ACTOR IN A LEADING ROLE,George Arliss,TRUE
1929,ACTOR IN A LEADING ROLE,George Arliss,FALSE
1929,ACTOR IN A LEADING ROLE,Wallace Beery,FALSE
1929,ACTOR IN A LEADING ROLE,Maurice Chevalier,FALSE
1929,ACTOR IN A LEADING ROLE,Ronald Colman,FALSE
1929,ACTOR IN A LEADING ROLE,Lawrence Tibbett,FALSE
1929,ACTRESS IN A LEADING ROLE,Nancy Carroll,FALSE
1929,ACTRESS IN A LEADING ROLE,Ruth Chatterton,FALSE
1929,ACTRESS IN A LEADING ROLE,Greta Garbo,FALSE
1929,ACTRESS IN A LEADING ROLE,Norma Shearer,TRUE
1929,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1929,ACTRESS IN A LEADING ROLE,Gloria Swanson,FALSE
1930,ACTOR IN A LEADING ROLE,Lionel Barrymore,TRUE
1930,ACTOR IN A LEADING ROLE,Jackie Cooper,FALSE
1930,ACTOR IN A LEADING ROLE,Richard Dix,FALSE
1930,ACTOR IN A LEADING ROLE,Fredric March,FALSE
1930,ACTOR IN A LEADING ROLE,Adolphe Menjou,FALSE
1930,ACTRESS IN A LEADING ROLE,Marlene Dietrich,FALSE
1930,ACTRESS IN A LEADING ROLE,Marie Dressler,TRUE
1930,ACTRESS IN A LEADING ROLE,Irene Dunne,FALSE
1930,ACTRESS IN A LEADING ROLE,Ann Harding,FALSE
1930,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1931,ACTOR IN A LEADING ROLE,Wallace Beery,TRUE
1931,ACTOR IN A LEADING ROLE,Alfred Lunt,FALSE
1931,ACTOR IN A LEADING ROLE,Fredric March,TRUE
1931,ACTRESS IN A LEADING ROLE,Marie Dressler,FALSE
1931,ACTRESS IN A LEADING ROLE,Lynn Fontanne,FALSE
1931,ACTRESS IN A LEADING ROLE,Helen Hayes,TRUE
1932,ACTOR IN A LEADING ROLE,Leslie Howard,FALSE
1932,ACTOR IN A LEADING ROLE,Charles Laughton,TRUE
1932,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1932,ACTRESS IN A LEADING ROLE,Katharine Hepburn,TRUE
1932,ACTRESS IN A LEADING ROLE,May Robson,FALSE
1932,ACTRESS IN A LEADING ROLE,Diana Wynyard,FALSE
1934,ACTOR IN A LEADING ROLE,Clark Gable,TRUE
1934,ACTOR IN A LEADING ROLE,Frank Morgan,FALSE
1934,ACTOR IN A LEADING ROLE,William Powell,FALSE
1934,ACTRESS IN A LEADING ROLE,Claudette Colbert,TRUE
1934,ACTRESS IN A LEADING ROLE,Bette Davis,FALSE
1934,ACTRESS IN A LEADING ROLE,Grace Moore,FALSE
1934,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1935,ACTOR IN A LEADING ROLE,Clark Gable,FALSE
1935,ACTOR IN A LEADING ROLE,Charles Laughton,FALSE
1935,ACTOR IN A LEADING ROLE,Victor McLaglen,TRUE
1935,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1935,ACTOR IN A LEADING ROLE,Franchot Tone,FALSE
1935,ACTRESS IN A LEADING ROLE,Elisabeth Bergner,FALSE
