YEAR,CATEGORY,NAME,WINORLOSE
1927,ACTOR IN A LEADING ROLE,Richard Barthelmess,FALSE
1927,ACTOR IN A LEADING ROLE,Emil Jannings,TRUE
1927,ACTRESS IN A LEADING ROLE,Louise Dresser,FALSE
1927,ACTRESS IN A LEADING ROLE,Janet Gaynor,TRUE
1927,ACTRESS IN A LEADING ROLE,Gloria Swanson,FALSE
1927,Art Direction / Production Design,Rochus Gliese,FALSE
1927,Art Direction / Production Design,William Cameron Menzies,TRUE
1927,Art Direction / Production Design,Harry Oliver,FALSE
1927,CINEMATOGRAPHY,George Barnes,FALSE
1927,CINEMATOGRAPHY,Charles Rosher,TRUE
1927,CINEMATOGRAPHY,Karl Struss,TRUE
1928,ACTOR IN A LEADING ROLE,George Bancroft,FALSE
1928,ACTOR IN A LEADING ROLE,Warner Baxter,TRUE
1928,ACTOR IN A LEADING ROLE,Chester Morris,FALSE
1928,ACTOR IN A LEADING ROLE,Paul Muni,FALSE
1928,ACTOR IN A LEADING ROLE,Lewis Stone,FALSE
1928,ACTRESS IN A LEADING ROLE,Ruth Chatterton,FALSE
1928,ACTRESS IN A LEADING ROLE,Betty Compson,FALSE
1928,ACTRESS IN A LEADING ROLE,Jeanne Eagels,FALSE
1928,ACTRESS IN A LEADING ROLE,Corinne Griffith,FALSE
1928,ACTRESS IN A LEADING ROLE,Bessie Love,FALSE
1928,ACTRESS IN A LEADING ROLE,Mary Pickford,TRUE
1928,Art Direction / Production Design,Hans Dreier,FALSE
1928,Art Direction / Production Design,Cedric Gibbons,TRUE
1928,Art Direction / Production Design,Mitchell Leisen,FALSE
1928,Art Direction / Production Design,William Cameron Menzies,FALSE
1928,Art Direction / Production Design,Harry Oliver,FALSE
1928,CINEMATOGRAPHY,George Barnes,FALSE
1928,CINEMATOGRAPHY,Clyde De Vinna,TRUE
1928,CINEMATOGRAPHY,Arthur Edeson,FALSE
1928,CINEMATOGRAPHY,Ernest Palmer,FALSE
1928,CINEMATOGRAPHY,John Seitz,FALSE
1928,DIRECTING,Lionel Barrymore,FALSE
1928,DIRECTING,Harry Beaumont,FALSE
1928,DIRECTING,Irving Cummings,FALSE
1928,DIRECTING,Frank Lloyd,TRUE
1928,DIRECTING,Frank Lloyd,FALSE
1928,DIRECTING,Ernst Lubitsch,FALSE
1929,ACTOR IN A LEADING ROLE,George Arliss,TRUE
1929,ACTOR IN A LEADING ROLE,George Arliss,FALSE
1929,ACTOR IN A LEADING ROLE,Wallace Beery,FALSE
1929,ACTOR IN A LEADING ROLE,Maurice Chevalier,FALSE
1929,ACTOR IN A LEADING ROLE,Ronald Colman,FALSE
1929,ACTOR IN A LEADING ROLE,Lawrence Tibbett,FALSE
1929,ACTRESS IN A LEADING ROLE,Nancy Carroll,FALSE
1929,ACTRESS IN A LEADING ROLE,Ruth Chatterton,FALSE
1929,ACTRESS IN A LEADING ROLE,Greta Garbo,FALSE
1929,ACTRESS IN A LEADING ROLE,Norma Shearer,TRUE
1929,ACTRESS IN A LEADING ROLE,Norma Shearer,FALSE
1929,ACTRESS IN A LEADING ROLE,Gloria Swanson,FALSE
1929,Art Direction / Production Design,Bulldog Drummond,FALSE
1929,Art Direction / Production Design,King of Jazz,TRUE
1929,Art Direction / Production Design,The Love Parade,FALSE
1929,Art Direction / Production Design,Sally,FALSE
1929,Art Direction / Production Design,The Vagabond King,FALSE
1929,CINEMATOGRAPHY,All Quiet on the Western Front,FALSE
1929,CINEMATOGRAPHY,Anna Christie,FALSE
1929,CINEMATOGRAPHY,Hell's Angels,FALSE
1929,CINEMATOGRAPHY,The Love Parade,FALSE
1929,CINEMATOGRAPHY,With Byrd at the South Pole,TRUE
1929,DIRECTING,Clarence Brown,FALSE
1929,DIRECTING,Robert Leonard,FALSE
1929,DIRECTING,Ernst Lubitsch,FALSE
1929,DIRECTING,Lewis Milestone,TRUE
1929,DIRECTING,King Vidor,FALSE
1929,SOUND,The Big House,TRUE
1929,SOUND,The Case of Sergeant Grischa,FALSE
1929,SOUND,The Love Parade,FALSE
1929,SOUND,Raffles,FALSE
1929,SOUND,Song of the Flame,FALSE
1930,ACTOR IN A LEADING ROLE,Lionel Barrymore,TRUE
1930,ACTOR IN A LEADING ROLE,Jackie Cooper,FALSE
